restaurant_name,locality,primary_cuisine,price_range,rating_scaled,votes,currency
Buena Carne,íguas claras,bar food,low,3.6,9,Brazilian Real(R$)
Taco Pep,íguas claras,mexican,low,4.3,29,Brazilian Real(R$)
Coco Bambu,"brasí_lia shopping, asa norte",international,low,4.2,17,Brazilian Real(R$)
Taypíç,lago sul,peruvian,low,3.6,5,Brazilian Real(R$)
Outback Steakhouse,"parkshopping, guaríç i",american,low,4.0,10,Brazilian Real(R$)
Manzuíç,"pontí£o lago sul, lago sul",seafood,low,3.2,6,Brazilian Real(R$)
Coco Bambu,setor de clubes esportivos sul,international,low,4.9,30,Brazilian Real(R$)
Gero,"shopping iguatemi, lago norte",italian,medium,3.3,8,Brazilian Real(R$)
Brazilian American Burgers,sudoeste,american,low,3.6,9,Brazilian Real(R$)
Pesqueiro Eco Gourmet,barra da tijuca,seafood,low,4.0,7,Brazilian Real(R$)
Confeitaria Colombo,centro,desserts,low,4.8,29,Brazilian Real(R$)
Bibi,copacabana,juices,low,4.7,24,Brazilian Real(R$)
Cervantes,copacabana,beverages,low,4.5,29,Brazilian Real(R$)
Amir,copacabana,lebanese,low,4.2,11,Brazilian Real(R$)
TT Burger,"galeria river, copacabana",burger,low,4.8,19,Brazilian Real(R$)
Braseiro da Gíçvea,gíçvea,brazilian,low,4.9,40,Brazilian Real(R$)
Balada Mix,ipanema,brazilian,low,4.6,21,Brazilian Real(R$)
Garota de Ipanema,ipanema,brazilian,low,4.9,49,Brazilian Real(R$)
Zazíç BistríÇ Tropical,ipanema,brazilian,low,4.6,21,Brazilian Real(R$)
Filí© de Ouro,lagoa,brazilian,low,4.3,14,Brazilian Real(R$)
D.O.C Ristorante,"le monde, barra da tijuca",italian,low,4.0,5,Brazilian Real(R$)
Sushi Leblon,leblon,japanese,low,4.6,25,Brazilian Real(R$)
Talho Capixaba,leblon,bakery,low,4.4,13,Brazilian Real(R$)
Leme Light,leme,brazilian,low,4.2,7,Brazilian Real(R$)
Shirley,leme,brazilian,low,4.2,8,Brazilian Real(R$)
Quiosque Chopp Brahma,madureira,bar food,low,1.0,1,Brazilian Real(R$)
Aprazí_vel,santa teresa,brazilian,medium,4.7,44,Brazilian Real(R$)
Aconchego Carioca,tijuca,brazilian,low,4.6,24,Brazilian Real(R$)
Garota de Ipanema,urca,brazilian,low,4.3,10,Brazilian Real(R$)
Cantina Famiglia Mancini,"bela vista, centro",italian,low,4.5,49,Brazilian Real(R$)
Templo da Carne - Marcos Bassi,"bela vista, centro",steak,low,4.4,17,Brazilian Real(R$)
Gopala Hari,consolaí_í£o,indian,low,3.1,5,Brazilian Real(R$)
Jiquitaia,consolaí_í£o,brazilian,low,4.1,15,Brazilian Real(R$)
Skye - Hotel Unique,"hotel unique, jardim paulista",beverages,medium,4.8,59,Brazilian Real(R$)
Les 3 Brasseurs,itaim bibi,french,low,4.6,30,Brazilian Real(R$)
Red Steak & Burger,itaim bibi,brazilian,low,3.9,5,Brazilian Real(R$)
Cantinho da Gula,itaim bibi,brazilian,low,1.0,0,Brazilian Real(R$)
Paris 6 Classique,jardim paulista,french,low,3.4,73,Brazilian Real(R$)
Kawa Sushi,jardim paulista,sushi,low,3.5,9,Brazilian Real(R$)
A Figueira Rubaiyat,jardim paulista,bbq,medium,4.3,39,Brazilian Real(R$)
Kinoshita,moema,sushi,low,3.9,12,Brazilian Real(R$)
Meats,pinheiros,gourmet fast food,low,4.3,68,Brazilian Real(R$)
Paribar,repí_blica,brazilian,low,4.3,46,Brazilian Real(R$)
Terraí_o Itíçlia,repí_blica,italian,medium,4.4,37,Brazilian Real(R$)
Divino Fogí£o,"shopping metríç santa cruz, vila mariana",brazilian,low,1.0,2,Brazilian Real(R$)
Super Grill,"shopping morumbi, santo amaro",brazilian,low,1.0,2,Brazilian Real(R$)
Esquina Mocotí_,vila maria,brazilian,low,4.4,22,Brazilian Real(R$)
Veloso,vila mariana,brazilian,low,4.6,58,Brazilian Real(R$)
Sainte Marie Gastronomia,vila síçnia,lebanese,low,4.1,11,Brazilian Real(R$)
Austin's BBQ and Oyster Bar,albany,bbq,low,3.3,35,Dollar($)
BJ's Country Buffet,albany,american,low,3.3,25,Dollar($)
El Vaquero Mexican Restaurant,albany,mexican,low,3.4,45,Dollar($)
Elements Coffee Co - Northwest,albany,coffee and tea,low,3.4,26,Dollar($)
Chick-fil-A,albany,fast food,low,3.5,67,Dollar($)
Guang Zhou Chinese Restaurant,albany,asian,low,3.9,141,Dollar($)
Harvest Moon,albany,pizza,low,3.7,147,Dollar($)
Henry Campbell's Steakhouse,albany,steak,low,3.5,51,Dollar($)
Hong Kong Cafe,albany,chinese,low,3.6,88,Dollar($)
House of China Restaurant II,albany,chinese,low,3.8,153,Dollar($)
Locos Grill & Pub,albany,american,low,3.5,57,Dollar($)
Longhorn Steakhouse,albany,american,low,3.5,58,Dollar($)
Mikata Japanese Steakhouse,albany,japanese,low,3.6,115,Dollar($)
Shogun Japanese Steak House,albany,japanese,low,3.5,51,Dollar($)
The Catch Seafood Room & Oyster Bar,albany,seafood,low,3.8,250,Dollar($)
Villa Gargano,albany,italian,low,3.7,117,Dollar($)
3 Squares Diner,sylvester,american,low,3.4,20,Dollar($)
Whitebull Hotel,armidale,bar food,low,3.5,25,Dollar($)
Last Resort Grill,athens,american,low,4.5,1821,Dollar($)
Mama's Boy Restaurant,athens,southern,low,4.5,849,Dollar($)
Sr. Sol 1,athens,mexican,low,4.6,917,Dollar($)
Choo Choo Eastside,athens,japanese,low,3.9,439,Dollar($)
The Grill,athens,breakfast,low,3.7,289,Dollar($)
Big City Bread Cafe,athens,breakfast,low,4.3,558,Dollar($)
Clocked,athens,american,low,4.2,613,Dollar($)
DePalma's Italian Cafe - Downtown,athens,american,low,4.0,353,Dollar($)
DePalma's Italian Cafe - East Side,athens,american,low,4.1,387,Dollar($)
Five & Ten,athens,american,low,4.3,755,Dollar($)
Grit,athens,international,low,4.2,800,Dollar($)
Ike & Jane,athens,sandwich,low,4.1,350,Dollar($)
La Dolce Vita Ristorante,athens,italian,low,4.1,464,Dollar($)
Shokitini,athens,asian,low,4.2,550,Dollar($)
Taqueria Del Sol,athens,mexican,low,4.1,543,Dollar($)
The National,athens,international,low,4.1,465,Dollar($)
The Royal Peasant,athens,bar food,low,4.4,546,Dollar($)
Transmetropolitan,athens,italian,low,4.4,1098,Dollar($)
Trappeze Pub,athens,burger,low,4.2,579,Dollar($)
Viva! Argentine Cuisine,athens,desserts,low,4.1,374,Dollar($)
Miyabi Kyoto Japanese Steak House,augusta,chinese,low,4.6,717,Dollar($)
Rae's Coastal Cafe,augusta,american,low,4.9,548,Dollar($)
The Bee's Knees,augusta,international,low,4.5,631,Dollar($)
Boll Weevil Cafe,augusta,desserts,low,3.9,372,Dollar($)
Farmhaus Burger,augusta,american,low,3.9,201,Dollar($)
Manuel's Bread Cafe,augusta,breakfast,low,3.8,332,Dollar($)
Sconyers Bar B Que,augusta,bbq,low,3.5,304,Dollar($)
Frog Hollow Tavern,augusta,american,low,4.3,368,Dollar($)
Giuseppe's Pizza & Italian Specialities,augusta,desserts,low,4.1,430,Dollar($)
Mellow Mushroom,augusta,italian,low,4.4,433,Dollar($)
Nacho Mamas Burritos,augusta,mexican,low,4.0,380,Dollar($)
Rhinehart's Oyster Bar,augusta,bar food,low,4.0,456,Dollar($)
Takosushi,augusta,mexican,low,4.2,647,Dollar($)
The Chop House,augusta,steak,low,4.0,360,Dollar($)
The Taj of India,augusta,indian,low,4.0,227,Dollar($)
Augsburg Haus,evans,german,low,3.9,290,Dollar($)
Pho Bac,evans,vietnamese,low,4.1,270,Dollar($)
Rhinehart's Oyster Bar,evans,burger,low,4.0,326,Dollar($)
Thai Kitchen,evans,thai,low,4.3,317,Dollar($)
El Kiosco Mexican Restaurant,grovetown,mexican,low,4.2,300,Dollar($)
Taste of Balingup,balingup,modern australian,low,3.2,21,Dollar($)
Bridge Road Brewers,beechworth,pizza,low,4.6,237,Dollar($)
Bardenay,boise,american,low,4.5,879,Dollar($)
Flatbread Neapolitan Pizzeria,boise,italian,low,4.6,615,Dollar($)
Goldy's Breakfast Bistro,boise,breakfast,low,4.5,879,Dollar($)
Chandlers Steakhouse,boise,american,low,3.9,379,Dollar($)
Bar Gernika Basque Pub & Eatery,boise,european,low,4.3,303,Dollar($)
Barbacoa Restaurant,boise,latin american,low,4.1,538,Dollar($)
Big Jud's,boise,american,low,4.2,334,Dollar($)
Bittercreek Ale House,boise,american,low,4.3,555,Dollar($)
Boise Fry Company,boise,american,low,4.4,823,Dollar($)
Flying Pie Pizzaria,boise,pizza,low,4.1,550,Dollar($)
Fork,boise,american,low,4.4,650,Dollar($)
Guido's Original New York Style Pizza,boise,pizza,low,4.3,410,Dollar($)
Los Beto's,boise,mexican,low,4.4,660,Dollar($)
Lucianos Italian Restaurant,boise,italian,low,4.4,360,Dollar($)
Mai Thai Restaurant,boise,sushi,low,4.0,340,Dollar($)
Shige Japanese Cuisine,boise,japanese,low,4.1,393,Dollar($)
The Egg Factory,boise,breakfast,low,4.3,422,Dollar($)
Tucanos,boise,brazilian,low,4.0,435,Dollar($)
Texas Roadhouse,meridian,american,low,4.0,369,Dollar($)
Brick 29,nampa,american,low,4.4,487,Dollar($)
Winifreds,cedar rapids,american,low,3.7,98,Dollar($)
Biaggi's Ristorante Italiano,cedar rapids,italian,low,4.1,365,Dollar($)
El Super Burrito,cedar rapids,mexican,low,4.1,190,Dollar($)
Granite City Food & Brewery,cedar rapids,american,low,4.1,429,Dollar($)
Irish Democrat,cedar rapids,american,low,4.4,430,Dollar($)
Taste of India,cedar rapids,indian,low,4.2,186,Dollar($)
Thai Moon Restaurant,cedar rapids,chinese,low,4.2,220,Dollar($)
Ting's Red Lantern,cedar rapids,chinese,low,4.2,347,Dollar($)
Monica's,coralville,american,low,3.8,161,Dollar($)
Exotic India,coralville,indian,low,4.1,160,Dollar($)
Shorts Burger and Shine,iowa city,burger,low,4.9,820,Dollar($)
The Hamburg Inn No. 2 Inc.,iowa city,american,low,4.5,488,Dollar($)
Bluebird Diner,iowa city,breakfast,low,3.6,253,Dollar($)
Graze,iowa city,american,low,3.8,220,Dollar($)
A & A Pagliai's Pizza,iowa city,pizza,low,4.3,485,Dollar($)
Atlas World Grill,iowa city,international,low,4.3,428,Dollar($)
BlackStone,iowa city,american,low,4.1,294,Dollar($)
Devotay,iowa city,mediterranean,low,4.0,380,Dollar($)
Jimmy Jack's Rib Shack,iowa city,bbq,low,4.2,259,Dollar($)
Zoeys Pizzeria,marion,pizza,low,4.7,433,Dollar($)
Tokyo Sushi,chatham-kent,japanese,low,3.7,176,Dollar($)
Berry Patch Restaurant,clatskanie,american,low,4.3,96,Dollar($)
Sakura Sushi & Grill,cochrane,asian,low,3.1,6,Dollar($)
Uptown Vietnam cuisine,columbus,asian,low,3.3,33,Dollar($)
Cafe Le Rue @ The Landings,columbus,american,low,4.6,489,Dollar($)
Mark's City Grille,columbus,american,low,4.5,345,Dollar($)
B Merrell's,columbus,burger,low,3.8,149,Dollar($)
Cannon Brewpub,columbus,pizza,low,3.9,330,Dollar($)
Fuji Japanese Steak House,columbus,japanese,low,3.9,247,Dollar($)
Ruth Ann's Family Restaurant,columbus,breakfast,low,3.7,123,Dollar($)
Samurai Japanese Cuisine & Sushi Bar,columbus,japanese,low,3.6,109,Dollar($)
Wasabi Sushi and Thai,columbus,japanese,low,3.7,134,Dollar($)
Buckhead Bar and Grill,columbus,seafood,low,4.2,722,Dollar($)
Burt's Butcher Shoppe and Eatery,columbus,steak,low,4.3,213,Dollar($)
Chef Lee's Peking Restaurant,columbus,chinese,low,4.0,335,Dollar($)
Country's Barbecue,columbus,bbq,low,4.0,353,Dollar($)
Deorio's,columbus,italian,low,4.0,170,Dollar($)
Mellow Mushroom,columbus,pizza,low,4.1,192,Dollar($)
Meritage,columbus,american,low,4.1,302,Dollar($)
Mongo The Mongolian Fire Pit,columbus,asian,low,4.2,355,Dollar($)
The Black Cow,columbus,american,low,4.3,287,Dollar($)
Wood Stone,columbus,italian,low,4.0,264,Dollar($)
Hunter's Pub,hamilton,american,low,4.4,235,Dollar($)
Consort Restaurant,consort,chinese,low,3.0,6,Dollar($)
Thatcher's Barbeque and Grill,calhoun,american,low,3.7,38,Dollar($)
Christian and Jake's Bistro,calhoun,desserts,low,4.4,122,Dollar($)
Dub's High on the Hog,calhoun,bbq,low,4.4,207,Dollar($)
Sierra's Mexican Restaurant,chatsworth,mexican,low,3.9,66,Dollar($)
Oakwood Cafe,dalton,bbq,low,4.9,249,Dollar($)
Chili's Grill & Bar,dalton,american,low,3.8,63,Dollar($)
Fuji Japanese Steakhouse,dalton,japanese,low,3.8,145,Dollar($)
Las Palmas,dalton,mexican,low,3.8,83,Dollar($)
Tony's Italian Restaurant & Pizza,dalton,italian,low,3.7,116,Dollar($)
Filling Station,dalton,american,low,4.1,122,Dollar($)
Five Guys Burgers and Fries,dalton,fast food,low,4.1,142,Dollar($)
Los Pablos,dalton,mexican,low,4.1,114,Dollar($)
Kobe Hibachi & Sushi,fort oglethorpe,american,low,4.6,214,Dollar($)
Soho Hibachi,fort oglethorpe,japanese,low,4.3,116,Dollar($)
Thai Garden,fort oglethorpe,thai,low,4.2,111,Dollar($)
Southern Bliss Bakery,lafayette,desserts,low,3.7,25,Dollar($)
Bailey's Bar-B-Que,ringgold,bbq,low,4.1,128,Dollar($)
Farm To Fork,ringgold,american,low,4.3,244,Dollar($)
Home Plate Grill,ringgold,american,low,4.2,112,Dollar($)
Pie Slingers Pizzeria,rock spring,italian,low,4.1,144,Dollar($)
Olive Tree Cafe,bettendorf,indian,low,4.6,166,Dollar($)
"Red Ginger Sushi, Grill & Bar",bettendorf,sushi,low,4.5,208,Dollar($)
Crust Stone Oven Pizza,bettendorf,burger,low,3.9,136,Dollar($)
Jimmy's Pancake House,bettendorf,american,low,4.0,85,Dollar($)
Trattoria Tiramisu,bettendorf,italian,low,4.1,117,Dollar($)
Prairie Grille at SteepleGate Inn,davenport,american,low,3.4,53,Dollar($)
Tantra Asian Bistro,davenport,asian,low,4.9,474,Dollar($)
Chick-fil-A,davenport,fast food,low,3.9,125,Dollar($)
Duck City Bistro,davenport,american,low,3.7,201,Dollar($)
Frick's Tap,davenport,american,low,1.0,2,Dollar($)
Los Agaves,davenport,mexican,low,1.0,3,Dollar($)
Azteca,davenport,mexican,low,4.3,167,Dollar($)
China Cafe,davenport,chinese,low,4.0,112,Dollar($)
Exotic Thai Restaurant,davenport,thai,low,4.1,256,Dollar($)
Front Street Brewery,davenport,american,low,4.3,123,Dollar($)
Granite City Food & Brewery,davenport,american,low,4.0,199,Dollar($)
Los Agaves,davenport,mexican,low,4.1,157,Dollar($)
Machine Shed Restaurant,davenport,american,low,4.1,100,Dollar($)
Osaka,davenport,japanese,low,4.2,141,Dollar($)
Texas Roadhouse,davenport,american,low,4.2,197,Dollar($)
Hickory Park,ames,bbq,low,4.5,1025,Dollar($)
The Cafe,ames,american,low,4.9,570,Dollar($)
Flying Mango,beaverdale,bbq,low,4.5,674,Dollar($)
Cool Basil,clive,asian,low,4.1,496,Dollar($)
HuHot Mongolian Grill,clive,asian,low,4.0,411,Dollar($)
Malo,downtown,latin american,low,3.2,113,Dollar($)
Centro,downtown,italian,low,4.5,1109,Dollar($)
Fong's Pizza,downtown,chinese,low,4.6,728,Dollar($)
A Dong Restaurant,downtown,asian,low,4.4,659,Dollar($)
Court Avenue Brewing Company,downtown,american,low,4.2,370,Dollar($)
Django,downtown,french,low,4.3,532,Dollar($)
Miyabi 9,east village,japanese,low,4.8,860,Dollar($)
Zombie Burger + Drink Lab,east village,burger,low,4.2,943,Dollar($)
Tursi's Latin King,fairground,american,low,4.1,476,Dollar($)
Tsing Tsao South,greater south side,chinese,low,4.1,218,Dollar($)
Bandit Burrito,johnston,breakfast,low,4.0,214,Dollar($)
Jethro's BBQ,kingman place historic district,american,low,4.3,699,Dollar($)
The Machine Shed Restaurant,urbandale,american,low,3.8,308,Dollar($)
Mi Patria,west des moines,latin american,low,4.0,157,Dollar($)
Waterfront Seafood Market,west des moines,seafood,low,4.2,530,Dollar($)
The Giggling Goat,dicky beach,coffee and tea,low,3.6,29,Dollar($)
Burnt Toast Cafe,dubuque,breakfast,low,3.4,33,Dollar($)
Catfish Charlie's,dubuque,seafood,low,3.3,40,Dollar($)
Salsa's Mexican Restaurant,dubuque,mexican,low,3.4,153,Dollar($)
Tony Roma's,dubuque,american,low,3.3,65,Dollar($)
Vinny Vanucchi's,dubuque,italian,low,3.4,58,Dollar($)
Champps Americana,dubuque,american,low,3.5,100,Dollar($)
Fiesta Cancun,dubuque,mexican,low,3.6,156,Dollar($)
Happy Joe's Pizza & Ice Cream,dubuque,desserts,low,3.5,74,Dollar($)
Houlihan's,dubuque,american,low,3.6,117,Dollar($)
Ichiban Hibachi Steakhouse & Sushi Bar,dubuque,japanese,low,3.7,83,Dollar($)
Kalmes Breaktime Bar & Grill,dubuque,american,low,3.6,48,Dollar($)
L. May Eatery,dubuque,international,low,3.8,198,Dollar($)
Los Aztecas,dubuque,mexican,low,3.5,126,Dollar($)
Manna Java World Cafe,dubuque,breakfast,low,3.5,119,Dollar($)
Mario's Italian Restaurant,dubuque,american,low,3.6,140,Dollar($)
Pepper Sprout Incorporated,dubuque,american,low,3.6,159,Dollar($)
Shot Tower Inn,dubuque,italian,low,3.6,131,Dollar($)
Sunshine Family Restaurant,dubuque,american,low,3.5,60,Dollar($)
Watershed Cafe,dubuque,american,low,3.7,89,Dollar($)
Woodfire Grille,dubuque,american,low,3.6,72,Dollar($)
The Belle General,east ballina,cafe,low,4.1,56,Dollar($)
Jehova es Mi Pastor Tacos y Burritos,fernley,mexican,low,3.7,83,Dollar($)
Flaxton Gardens,flaxton,tea,low,3.5,37,Dollar($)
Bespoke Harvest,forrest,cafe,low,3.7,29,Dollar($)
Houndstooth Grill & Tavern,braselton,american,low,4.4,239,Dollar($)
Hawg Wild BBQ & Catfish House,clarkesville,bbq,low,4.1,235,Dollar($)
Bourbon Street Grille,dahlonega,american,low,3.8,88,Dollar($)
Smokin Gold BBQ,dahlonega,bbq,low,3.9,133,Dollar($)
Hoka-Hoka Japanese Steak & Sushi,dahlonega,chinese,low,4.4,267,Dollar($)
Shenanigan's Irish Pub,dahlonega,bar food,low,4.1,171,Dollar($)
Fish Tales Lakeside Grille,flowery branch,seafood,low,3.8,107,Dollar($)
Antebellum,flowery branch,american,low,4.3,164,Dollar($)
Moonie's Texas Barbecue,flowery branch,bbq,low,4.1,182,Dollar($)
Atlanta Highway Seafood Market,gainesville,sandwich,low,4.9,681,Dollar($)
Eat at Thai,gainesville,thai,low,4.6,357,Dollar($)
Smoke House BBQ and Catering,gainesville,bbq,low,3.8,89,Dollar($)
2 Dog,gainesville,american,low,4.2,350,Dollar($)
Longstreet Cafe,gainesville,southern,low,4.3,298,Dollar($)
Re-Cess,gainesville,american,low,4.2,319,Dollar($)
Bodensee,helen,german,low,3.8,114,Dollar($)
Hofer's Bakery & Cafe,helen,german,low,3.9,136,Dollar($)
Troll Tavern,helen,burger,low,2.2,108,Dollar($)
The Nacoochee Village Tavern & Pizzeria,helen,italian,low,4.0,161,Dollar($)
Blue Bean Love Cafe,hepburn springs,cafe,low,3.8,192,Dollar($)
La Trattoria of Lavandula,hepburn springs,italian,low,3.8,93,Dollar($)
5 Little Pigs,huskisson,breakfast,low,4.1,40,Dollar($)
Beach Box Cafe,inverloch,burger,low,3.7,100,Dollar($)
Funkey Monkey,lakes entrance,breakfast,low,3.8,97,Dollar($)
Burger Queen Drive In,lakeview,burger,low,3.6,41,Dollar($)
Blue Orchid Thai Restaurant,haymarket,thai,low,4.5,799,Dollar($)
Stillwater on Belmore,lorn,breakfast,low,3.6,18,Dollar($)
Mr.,macedon,cafe,low,3.5,31,Dollar($)
Emilio's Cuban Cafe,bonaire,coffee and tea,low,3.9,146,Dollar($)
Ingleside Village Pizza,macon,pizza,low,4.9,478,Dollar($)
Jim Shaw's Seafood Grill & Bar,macon,seafood,low,4.6,467,Dollar($)
Mandarin Chinese Restaurant,macon,chinese,low,4.5,302,Dollar($)
Rookery,macon,burger,low,4.5,289,Dollar($)
Bonefish Grill,macon,american,low,4.1,293,Dollar($)
Downtown Grill,macon,steak,low,4.0,195,Dollar($)
Greek Corner Deli,macon,desserts,low,4.3,244,Dollar($)
Natalia's,macon,european,low,4.2,379,Dollar($)
Papouli's Mediterranean Cafe & Market,macon,greek,low,4.2,223,Dollar($)
Benson's Steak and Sushi,warner robins,american,low,3.7,243,Dollar($)
My Fathers Place,warner robins,italian,low,3.7,104,Dollar($)
Sushi Thai Restaurant,warner robins,japanese,low,3.7,153,Dollar($)
The Mellow Mushroom,warner robins,pizza,low,3.8,323,Dollar($)
El Jalisciense Mexican Restaurant,warner robins,mexican,low,4.1,181,Dollar($)
Greek Village,warner robins,american,low,4.0,316,Dollar($)
Martin's BBQ,warner robins,bbq,low,4.2,288,Dollar($)
Thai Pepper,warner robins,japanese,low,4.0,232,Dollar($)
Zen Japanese Steakhouse and Sushi Bar,warner robins,japanese,low,4.1,314,Dollar($)
Star Buffet,mayfield,asian,low,2.9,11,Dollar($)
Triangle Restaurant,mc millan,breakfast,low,2.4,17,Dollar($)
Three Anchors,middleton beach,bar food,low,3.8,176,Dollar($)
Vince's Restaurant & Pizzeria,monroe,italian,low,3.6,65,Dollar($)
Poets Cafe,montville,coffee and tea,low,2.4,193,Dollar($)
The Artesian Restaurant,ojo caliente,american,low,3.6,30,Dollar($)
Ceví_che Tapas Bar & Restaurant,church street district,spanish,low,4.4,981,Dollar($)
'Ohana,disney world area,hawaiian,low,4.5,1151,Dollar($)
Earl of Sandwich,disney: downtown disney,american,low,4.7,1341,Dollar($)
Raglan Road Irish Pub and Restaurant,disney: downtown disney,irish,low,4.3,782,Dollar($)
Cafí© Tu Tu Tango,i-drive/universal,new american,low,4.6,1293,Dollar($)
Texas de Brazil,i-drive/universal,brazilian,low,4.6,2324,Dollar($)
Bahama Breeze Island Grille,i-drive/universal,caribbean,low,4.3,910,Dollar($)
Maggiano's Little Italy,i-drive/universal,italian,low,4.4,886,Dollar($)
Hawkers Asian Street Fare,mills 50,asian,low,4.6,1293,Dollar($)
Tako Cheena by Pom Pom,mills 50,asian,low,4.4,570,Dollar($)
Seasons 52 Fresh Grill,restaurant row,american,low,4.4,1685,Dollar($)
Hollerbach's Willow Tree Cafí©,sanford,german,low,4.8,1699,Dollar($)
Pom Pom's Teahouse and Sandwicheria,the milk district,american,low,4.9,1457,Dollar($)
Yellow Dog Eats,windermere,american,low,4.9,1252,Dollar($)
Tibby's New Orleans Kitchen,winter park,cajun,low,4.7,1412,Dollar($)
The Coop,winter park,southern,low,3.6,432,Dollar($)
Bosphorous Turkish Cuisine,winter park,mediterranean,low,4.2,568,Dollar($)
Ethos Vegan Kitchen,winter park,american,low,4.4,797,Dollar($)
The Ravenous Pig,winter park,pub food,low,4.4,1998,Dollar($)
Vivo Bar and Grill,palm cove,mediterranean,low,4.4,381,Dollar($)
Pier 70,paynesville,modern australian,low,2.6,16,Dollar($)
DiVine,penola,cafe,low,3.4,19,Dollar($)
Cactus Flower Cafe Navarre,navarre,mexican,low,4.2,635,Dollar($)
McGuire's Irish Pub & Brewery,pensacola,burger,low,4.9,2238,Dollar($)
New Yorker Deli & Pizzeria,pensacola,italian,low,4.6,792,Dollar($)
Tu-Do Vietnamese Restaurant,pensacola,asian,low,4.5,828,Dollar($)
Carrabba's Italian Grill,pensacola,italian,low,3.7,292,Dollar($)
Jaco's Bayfront Bar and Grille,pensacola,tapas,low,3.9,502,Dollar($)
The Tin Cow,pensacola,burger,low,3.7,559,Dollar($)
Cactus Flower Cafe,pensacola,latin american,low,4.2,1268,Dollar($)
Dharma Blue,pensacola,seafood,low,4.1,669,Dollar($)
Global Grill,pensacola,european,low,4.4,900,Dollar($)
Ichiban,pensacola,japanese,low,4.3,765,Dollar($)
The Fish House,pensacola,american,low,4.0,1270,Dollar($)
Tuscan Oven,pensacola,italian,low,4.1,502,Dollar($)
Flounders Chowder House,pensacola beach,seafood,low,3.9,724,Dollar($)
Hemingway's Island Grill,pensacola beach,caribbean,low,3.5,479,Dollar($)
Native Cafe,pensacola beach,breakfast,low,4.2,591,Dollar($)
Peg Leg Pete's,pensacola beach,burger,low,4.4,1408,Dollar($)
The Grand Marlin,pensacola beach,caribbean,low,4.3,905,Dollar($)
Original Georgios Authentic Greek Food,perdido key,greek,low,4.7,816,Dollar($)
Fisherman's Corner,perdido key,sandwich,low,4.4,747,Dollar($)
Mad Cowes Cafe,phillip island,breakfast,low,3.7,351,Dollar($)
